# Muestra;Proceso - Gestión Keys;Proceso - Gestión Sensores;Proceso - Gestión Tableros;Proceso - Predicción Manual;Proceso - Predicción Masiva;Proceso - Predicción Tiempo Real;
331;2770;4452;6832;6359;10167;10167;
332;4695;3264;7560;8102;11114;11114;
333;3727;4096;6523;6947;10335;10335;
334;4063;5757;7236;7891;10601;10601;
335;3916;3945;6395;7242;11217;11217;
336;2266;4669;7329;5848;11112;11112;
337;3497;4386;7674;6907;11290;11290;
338;2824;4245;7131;6551;10744;10744;
339;3414;3924;6682;6934;12170;12170;
340;2959;4695;7234;5918;11009;11009;
341;3522;5114;6849;6953;10586;10586;
342;5382;4094;7841;8793;10963;10963;
343;4909;4329;7500;8467;10919;10919;
344;3193;3832;7508;6925;11990;11990;
345;4829;4967;7775;8455;10793;10793;
346;4502;4941;7801;8607;11340;11340;
347;4283;4605;7151;7748;11762;11762;
348;4512;4052;8390;8285;11440;11440;
349;707;3848;5985;11425;11425;11425;
350;4285;5027;7361;1121;1121;1121;
351;3387;3718;5733;10783;10783;10783;
352;4491;77;9270;10222;10222;10222;
353;2250;2401;10814;10486;10486;10486;
354;4590;791;7958;10359;10359;10359;
355;4158;4265;10225;10782;10782;10782;
356;4727;4852;10651;11663;11663;11663;
357;4153;3886;9472;11822;11822;11822;
358;3497;4981;6333;10673;10673;10673;
359;3918;4586;6900;10512;10512;10512;
360;4116;4285;7835;11426;11426;11426;
361;3301;4631;8624;11988;11988;11988;
362;3104;4014;7941;10996;10996;10996;
363;5347;3918;8533;11127;11127;11127;
364;3896;4122;7506;11200;11200;11200;
365;4829;4407;8337;11704;11704;11704;
366;4660;5267;7376;11107;11107;11107;
367;4160;5757;7442;10621;10621;10621;
368;3472;3393;6453;11568;11568;11568;
369;2788;3702;5116;10952;10952;10952;
370;3879;3796;6990;11046;11046;11046;
371;3124;3627;5999;11535;11535;11535;
372;5251;3522;8867;12850;12850;12850;
373;4052;4456;7423;11583;11583;11583;
374;4409;4289;7854;11159;11159;11159;
375;4189;4696;4597;11842;11842;11842;
376;5850;4695;4759;11040;11040;11040;
377;5015;4283;8388;11306;11306;11306;
378;3863;4909;6998;11278;11278;11278;
379;5049;3275;8127;11186;11186;11186;
380;4329;5218;7820;10361;10361;10361;
381;4144;3879;7497;11449;11449;11449;
382;5630;3957;5048;10606;10606;10606;
383;3203;3932;6395;11210;11210;11210;
384;2841;4352;5575;10419;10419;10419;
;3997,666667;4111,080729;6852,372396;8036,476563;11217,21354;11202,73698;7569,591146
